Name,ETH Wallet,Handle,Discord,Invited By,Link to Tweet
AlphaSweep,0x281b939E781b7C7ddCf9d2Dc3C9C90825ff10A81,alphasweep,alphasweep,AnglerPunk,https://x.com/AlphaSweep/status/1856284447982965180
Altisimo,0x91c8821DE09150168eD54FC9882032a6c7cA2719,altisssssimo,altisimoaltisimo_53963,punketo,https://x.com/altisssssimo/status/1855650857926230184?s=46
ALX_STH,0x8c1F8159C5b185a934a201Eb0F61Acc98afA0257,ALX_STH,ALX_STH,Mirror,https://x.com/ALX_STH/status/1858079374655816158
Ambro,0x2fc41bcf363b80b1a98ac14a8e8bc091bd8c2366,_Ambone_,ambro6482,pl33b,https://x.com/_Ambone_/status/1862553288861762017
AMcCarroll,0xF08889f3b4f5A56482Fc295db2fFC7301F888cA0,alexmccarroll,amccarroll,Aleks,https://x.com/alexmccarroll/status/1851272496672067858?s=46
Anasi,0xCe0135C1BBCe202075D03e51044a56B44aA1Ed35,chistyakovva instagram,anasi7504,Denis17,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDYxOTg0ODE2NzYwMzE3?story_media_id=3503412359761330513&igsh=MWJzbXJ3MDRyZW40aQ==
ancosero,0x0FC1c3004c16E24195279Fbca20a49592E7018c2,ancosero0x,ancosero,Demian,https://x.com/ancosero0x/status/1858546892239446044
Andi,0xc9b4E422Bc97DC073c917E2d01b9B3D3F269f467,a_berghammer,a_berghammer,rainerhosch,https://x.com/a_berghammer/status/1859370382773359050
andrew,0x433fda9d0DDc52188Cfac0e4df7cda187CeaE902,_awhurst_,awhurst,Perpetual_cgi,https://x.com/_awhurst_/status/1857207991990419536?s=46
andrewagner,0xb5A5f243b3830E64F1d5C9EB1028664f881931f4,andrewagnereth,ANDREWAGNER#1448,rainerhosch,https://x.com/andrewagnereth/status/1859367854119809188
AnglerPunk,0x2569b43EEecC00B895ce14351d2Ef47dA7288930,anglerpunk,anglerpunk,Max,https://x.com/AnglerPunk/status/1856176571591340079
anirveda,0x6694F5Cb8F80320024A9c141C7E3F8fc503cA362,anirvedas,anirveda,Aleks,https://x.com/anirvedas/status/1855641965821558925
Anna_allsaints,0x7cB9b23f78A4CFAFD3605eF19850030fB40A7475,anna_timeorder,Anna_allsaints,Denis17,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDY0NDM2MTY0NjkyMzAz?story_media_id=3511070224114607589&igsh=MTI4N3NrcnlsMWFqcg==
AnnaAlankara,0x74368843eaf18052D10dDe4Dd143d5d64DD2515D,anitax31. Instagram,anna_alankara,Denis17,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3ODU2NDA1MjU4MzExNzYx?igsh=cDVyZnh5ZnM4bGo0
anon,0x88452bE7Bc0565E7953d6eBA1ce16F0D0A35cD4C,anon_rip,anonakamigo,Jwshua,https://x.com/anon_rip/status/1858749394008633797?s=46
Anon333,0x74715e12d34706Dc93DF96D2D8e813fb06Af146A,gamypto,Anon333.eth,Mirror,https://x.com/gamypto/status/1857990169711800821?s=46&t=LcN3lynQMeveavQxbNetvQ
anontoshi,0xb2454F13c40E75cE415897F255ef8a33c6C6F469,anontoshi,anontoshi,Max,https://x.com/anontoshi/status/1846880364599693501
Anz,0x497056B9E7832eeAdb26C80724Eb79D7AD0ca77D,anzomez,Anzomez,Num1crush,https://x.com/anzomez/status/1862359237885931840?s=46
apmike,0xB8d0bcefE39e41b95D4498b26BCd6B04C80462d4,ahmycoah,apmike,FerLoko,https://x.com/ahmycoah/status/1847309414711332866
arab,0xf83f152dA39990BD5B43AE4576B2af1445930a08,Alexey659388,arab_mamochka,MaximPiragov,https://x.com/Alexey659388/status/1862181803529736577
aranthus,0x64770fb2B08481B7336A770013B9Dbc5FC1b6F69,aranthus,aranthus,Anon333,https://x.com/Aranthus/status/1858426346956796130
Ares,0x668E961736454a2444ADB485340cB7F0844DDd3d,ares_gods,aresares,iiaone,https://x.com/ares_gods/status/1858639283126759808
Arkaydeus,0x7170e4e7996682ee5e1a1548e179dda5600c2e5c,arkaydeus,arkaydeus,Max,https://x.com/arkaydeus/status/1846834563718197507
Arnold Toadzenegger,0x0FB3fA40850C1E472B6eCED8FB10781763D42193,bobbyseitz,ArnoldToadzenegger,Aleks,https://x.com/bobbyseitz/status/1846766901411615089
Arsonic,0x9F6ae0370d74f0e591C64cec4a8AE0d627817014,Ars0nic,Arsonic,justintrimble,https://x.com/Ars0nic/status/1862558813368275004
Art,0x239AeBeF9ADF577B90dd8882dE6F610CEbd34beE,ArtKaroon9,ak9,Max,https://x.com/ArtKaroon9/status/1846713390166856065
Artem,0xEd498E75d471C3b874461a87Bb7146453CC8175A,Arvolear,arvolear,Denis17,https://x.com/Arvolear/status/1847566941189226626
Arthr,0x4C9b3B18a54e59b23A75250425670E6a7467D225,arthr,arthr.eth,lorepunk,https://x.com/arthr/status/1858806454427201795?s=46
Artysiq,0x564Cd5E7D7E2dcFEDB7F186f39262bc60C93565f,artysiqsats,artysiq,Decay,https://x.com/ArtysiqSats/status/1859153293739524341
Ash2Ash,0x76065Eb77c71A820F7f6bde1bF5331c4914deb8a,ARavanmehr,_ash2ash,Highgaz,https://x.com/ARavanmehr/status/1849295690377076929
Ashton Tekno,0x42b5195bAc762518114638580631F3039b570126,ashtontekno,ashtontekno,TaraWorkman_,https://x.com/ashtontekno/status/1859678032170303594?s=46
Astalgi,0x1169ec1E84817a0989CBe398b43a430eB5396782,bowieisinspace,Astalgi,Don Luv,https://x.com/bowieisinspace/status/1861160204831703111
astamcloud,0xC4602676Af63AF3762a5701C279aE3CA4c09f087,astamcloud,astamcloud,"Yatmaxi, bitm00n, thatfinchguy, gribb, biggiepoppins",https://x.com/astamcloud/status/1863953495558111339
ATS,0x37A4d5f691aE46BDEF3Aa3615332f0D446d3B686,ats_nft,ats_nft,DappPunk,https://x.com/ats_nft/status/1861514212859879532
ausdemaus,0x1c21230D4A2E920d11655CC6AFE567eE38bFAcda,ausdemaus,ausdemaus,Mirror,https://x.com/ausdemaus/status/1857990403980472562
avacrypt,0x85667Fe20280ED627243DAf166555503Bed11779,avacrypt1,avacrypt,Conny,https://x.com/avacrypt1/status/1857478882540089706
Aventurine,0x41DD1c6338e5b3cdF9Dc69e20DaD9834aE36A6D3,aventurine_eth,aventurine,Tony Herrera,https://x.com/aventurine_eth/status/1846799457465110793
awitize,0xff0C998D921394D89c5649712422622E3172480C,0xAwitize,awitize,Pinkocto,https://twitter.com/0xAwitize/status/1864171739619708952
Axaos,0x6D66A6Fe76dF6418136e9e6F7AF9fD7e76e52205,axaos,axaos,Resaang,https://x.com/axaos/status/1854964253012173137
Ayrifik,0x73121840898f1c0369d633DDD8B3230211ed0C60,AyriFik_,ayrifik,Serine,https://x.com/ayrifik_/status/1862623120630096177?s=46
